feature,category,neutralization,horizon,ic_spearman,quintile_spread,quintile_spread_after_cost,hit_ratio,leakage_risk,rolling_ic_last,bootstrap_survival,ic_in_sample,ic_out_of_sample,spread_tail_high_signal_days,spread_tail_low_signal_days,ic_regime_on,ic_regime_off,note
liq_gap_extension,C_liquidity,momentum,10,0.009317369600990045,0.0034517150468551788,0.0024517150468551787,0.507385923299124,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,raw,20,-0.004936933932720256,0.0009900498527924267,-9.950147207573277e-06,0.5030599537448852,LOW,0.016733094889515583,0.82,-0.01468890367146605,0.03407094502226293,0.0009900498527924267,0.0009900498527924267,0.003680288987917954,-0.021282301218692727,
liq_gap_extension,C_liquidity,sector,20,-0.0037565368057176918,-0.0009850313578275254,-0.0019850313578275254,0.49943070628002134,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,beta,20,-0.003413228728276913,0.0007869937326230383,-0.00021300626737696168,0.5028351929760381,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,momentum,20,0.01225758829713468,0.007705139799686012,0.006705139799686012,0.5154385209633828,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,raw,1,-0.0011790410940085707,-3.965178540297782e-05,-0.0010396517854029778,0.49890324153058735,LOW,-0.022677322677322684,0.54,0.0005064776945512919,-0.007876169080553105,-3.965178540297782e-05,-3.965178540297782e-05,-0.012166389791161927,0.020751530401915994,
liq_extension_5d,C_liquidity,sector,1,-0.0043642124515663365,-6.548607920040146e-05,-0.0010654860792004015,0.49912955677030746,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,beta,1,-0.0006428191679784319,3.055826313381723e-05,-0.0009694417368661828,0.49853314729347786,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,momentum,1,0.0032547936737229687,3.86472137647888e-05,-0.0009613527862352112,0.5000924342561354,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,raw,5,-0.010687145973448444,-0.0012695153516867298,-0.00226951535168673,0.49646445199005845,LOW,-0.020007884558991683,0.92,-0.011599898630876722,-0.007054512914019133,-0.0012695153516867298,-0.0012695153516867298,-0.013557228649178289,-0.005004612804232334,
liq_extension_5d,C_liquidity,sector,5,-0.009847936022575336,-0.0008733898876819293,-0.0018733898876819293,0.4955018027794308,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,beta,5,-0.004667245580107765,-0.000458636292349498,-0.001458636292349498,0.49800338165989133,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,momentum,5,-0.006298007049545035,-0.0013443798560416227,-0.0023443798560416227,0.49597356048968955,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,raw,10,-0.0074274079844314795,-0.0006403681101909958,-0.0016403681101909958,0.49970924597790267,LOW,0.057812801233853864,0.84,-0.01710486814588325,0.031086267928373195,-0.0006403681101909958,-0.0006403681101909958,-0.0007573854101032699,-0.020499580740544594,
liq_extension_5d,C_liquidity,sector,10,-0.0017520150348829936,-0.0006377339191257058,-0.0016377339191257058,0.4992510881249009,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,beta,10,-0.004490371259805307,-0.00013628806942114248,-0.0011362880694211425,0.4995743447626293,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,momentum,10,0.0010557159600654423,-0.0003642989651299212,-0.0013642989651299212,0.4994715953124633,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,raw,20,-0.012998729352888476,-0.002147905358949157,-0.003147905358949157,0.5030815127101235,LOW,0.018240969556759027,0.92,-0.016442928391474453,0.0007072955883338046,-0.002147905358949157,-0.002147905358949157,-0.012270596613252421,-0.014396510274760115,
liq_extension_5d,C_liquidity,sector,20,-0.012579146040378214,-0.0027715836629057366,-0.0037715836629057366,0.49681130423908965,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,beta,20,-0.012105961484357972,-0.0017705088818999667,-0.0027705088818999668,0.503131945847646,LOW,,,,,,,,,
liq_extension_5d,C_liquidity,momentum,20,0.0017749527781513806,0.000563806241760223,-0.00043619375823977704,0.5030016024491163,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,raw,1,-0.006142787642978561,-0.00029803415700121983,-0.0012980341570012197,0.49936028883397304,LOW,-0.024474210000525784,0.84,-0.006674622948356349,-0.0040297238793299064,-0.00029803415700121983,-0.00029803415700121983,-0.011826922794123505,0.005435143382099461,
liq_extension_10d,C_liquidity,sector,1,-0.005859541722978158,-0.00011217950504645161,-0.0011121795050464517,0.4982210771684456,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,beta,1,-0.004283002271046324,-4.819513030311054e-05,-0.0010481951303031106,0.5009276437847866,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,momentum,1,0.002620855639753088,0.00011073714325963795,-0.0008892628567403621,0.4990987660026806,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,raw,5,-0.016957604412345784,-0.0017686736945003553,-0.0027686736945003554,0.5006079402280217,LOW,0.0013751354972689775,0.98,-0.023330972846474195,0.008406679423476077,-0.0017686736945003553,-0.0017686736945003553,-0.01176652875475801,-0.027446130228701415,
liq_extension_10d,C_liquidity,sector,5,-0.00916925877887584,-0.000583292904603652,-0.001583292904603652,0.49595587587446477,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,beta,5,-0.013193812269212988,-0.0012351864915322915,-0.0022351864915322915,0.5023999710192179,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,momentum,5,-0.0005075538137186672,-0.00013193567455725957,-0.0011319356745572596,0.4976725783177396,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,raw,10,-0.02006233628321635,-0.002761872740444298,-0.003761872740444298,0.500106450926123,LOW,0.05570525965262807,1.0,-0.030928091251977895,0.023178933490426504,-0.002761872740444298,-0.002761872740444298,-0.003151507681274722,-0.05388399348709961,
liq_extension_10d,C_liquidity,sector,10,-0.00751441540915225,-0.0006426111369704172,-0.0016426111369704172,0.49691292314243135,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,beta,10,-0.01562932927510101,-0.002220557093892765,-0.003220557093892765,0.5009849700860937,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,momentum,10,0.006292365671826984,0.00048410420743850643,-0.0005158957925614936,0.5009746130903454,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,raw,20,-0.013851617110109599,-0.002876241113795811,-0.003876241113795811,0.5036874482857863,LOW,0.0035447009131219656,0.96,-0.01671269531344328,-0.00246649901822316,-0.002876241113795811,-0.002876241113795811,-0.009133126287938003,-0.02309521798305232,
liq_extension_10d,C_liquidity,sector,20,-0.014284192262031594,-0.002258163583673962,-0.003258163583673962,0.4957909126884196,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,beta,20,-0.012232706564690372,-0.0021941839563777987,-0.0031941839563777987,0.5038850038850039,LOW,,,,,,,,,
liq_extension_10d,C_liquidity,momentum,20,0.00856931185515076,0.00250951629394173,0.0015095162939417301,0.5048432230752673,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,raw,1,0.003893869034518694,-0.00021390761185147958,-0.0012139076118514796,0.49791063409220954,LOW,-0.0033323678986792336,0.74,0.0008107835527968535,0.01620565705819459,-0.00021390761185147958,-0.00021390761185147958,0.004779308141032306,0.002147586352227964,
liq_reversal_after_extreme,C_liquidity,sector,1,0.010229573031783712,0.00018880713724668617,-0.0008111928627533139,0.4978065992752241,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,beta,1,0.003818315743267698,-0.0003418797825910443,-0.0013418797825910443,0.4987974987974988,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,momentum,1,0.012339438936121131,0.0004934560359057827,-0.0005065439640942174,0.5007163654850487,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,raw,5,0.003820771661619189,-0.0011764036774378397,-0.0021764036774378397,0.49474418199250414,LOW,-0.01618362585459141,0.86,0.004185799126306762,0.0023606618028688916,-0.0011764036774378397,-0.0011764036774378397,0.010164665254457826,-0.008590099533894495,
liq_reversal_after_extreme,C_liquidity,sector,5,0.004030158519598749,0.0015279283852124427,0.0005279283852124427,0.5005665475464133,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,beta,5,0.004590435862931835,-0.0013015704730145903,-0.0023015704730145903,0.49764442454097624,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,momentum,5,0.015397162993606418,0.0001667281823160196,-0.0008332718176839804,0.49906903132709585,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,raw,10,0.005073081323858185,-0.0016981954840851136,-0.0026981954840851136,0.4980519480519481,LOW,-0.012291982687296105,0.82,0.0075820553469121196,-0.004962814768357553,-0.0016981954840851136,-0.0016981954840851136,0.009529309422566776,-0.0035564397561806747,
liq_reversal_after_extreme,C_liquidity,sector,10,0.003327896412655996,0.0004946738015339566,-0.0005053261984660435,0.5000526500526501,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,beta,10,0.004727290253606043,-0.0018860577001325578,-0.002886057700132558,0.5009018759018758,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,momentum,10,0.018897444042585376,-0.0006344531473055377,-0.0016344531473055377,0.5032761090627275,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,raw,20,0.0007768573301263576,-0.0013816971570970032,-0.0023816971570970033,0.49813200498132004,LOW,-0.03211008980224604,0.44,0.004725394698290354,-0.015017292142529644,-0.0013816971570970032,-0.0013816971570970032,0.0007167508920112987,0.0008908687484557111,
liq_reversal_after_extreme,C_liquidity,sector,20,-0.00024359401735654095,-5.1061785074447974e-05,-0.001051061785074448,0.4952143746664295,LOW,,,,,,,,,
liq_reversal_after_extreme,C_liquidity,beta,20,0.0018364881967550613,-0.0014206126628108842,-0.0024206126628108842,0.500695079568319,LOW,,,,,,,,,
