signal,target,ic_high_vol,ic_low_vol
flow_breadth_thrust,IWM,-0.03536199718337511,-0.07976061374303278
flow_breadth_thrust,XLK,0.08274293884625723,0.00250074998881859
flow_breadth_thrust,XLF,-0.07236633460618597,-0.030773668605325932
flow_breadth_thrust,XLE,-0.046852636411035646,-0.0363953998938932
flow_pressure_factor,SPY,-0.1054842777253168,-0.16886278515492
flow_pressure_factor,QQQ,-0.09556632419381286,-0.19652706843718082
flow_pressure_factor,IWM,-0.04907521020520099,-0.16341504937010556
flow_pressure_factor,XLK,-0.11511950738192038,-0.1335035750766088
flow_pressure_factor,XLF,0.031252297131483565,-0.08375893769152198
flow_pressure_factor,XLE,0.10369746283594665,0.20749063670411988
sentiment_fear_greed_proxy,SPY,-0.12033293563508266,0.034572770489772975
sentiment_fear_greed_proxy,QQQ,-0.14672803659577835,-0.004020311145407604
sentiment_fear_greed_proxy,IWM,-0.11524390588687654,0.10064115388645954
sentiment_fear_greed_proxy,XLK,-0.17052207790739096,-0.04974896872350358
sentiment_fear_greed_proxy,XLF,-0.12666595043285026,-0.05975211256871207
sentiment_fear_greed_proxy,XLE,0.23883947503830907,0.07348023664580296
sentiment_news_placeholder,SPY,,
sentiment_news_placeholder,QQQ,,
sentiment_news_placeholder,IWM,,
sentiment_news_placeholder,XLK,,
sentiment_news_placeholder,XLF,,
sentiment_news_placeholder,XLE,,
sentiment_social_placeholder,SPY,,
sentiment_social_placeholder,QQQ,,
sentiment_social_placeholder,IWM,,
sentiment_social_placeholder,XLK,,
sentiment_social_placeholder,XLF,,
sentiment_social_placeholder,XLE,,
