ticker,idea,ic_mean,residual_ic_mean,ic_1d,ic_5d,ic_20d,structural_class,reasons
AMZN,mean_reversion,0.07637113331628859,-0.02917617217488001,0.036195744271975264,0.09069057603054546,0.10222707964634503,NOISE,regime IC sign unstable
AMZN,earnings_reaction,0.013805203111189,0.05448542908128334,0.009224577491265288,0.037090534816594384,-0.004899502974292678,NOISE,|IC| < 0.05
GOOGL,momentum,-0.0890815404643519,-0.012866273744686416,-0.04540157715624682,-0.0897619825031327,-0.13208106173367615,NOISE,regime IC sign unstable
GOOGL,breakout,0.07710798250716443,0.05923306071108694,0.010330303425779747,0.07108375564584804,0.1499098884498655,NOISE,regime IC sign unstable
GOOGL,mean_reversion,-0.05711178465718633,-0.0596606251056625,0.017380613376892236,-0.034711088965899486,-0.15400487838255175,NOISE,regime IC sign unstable
GOOGL,earnings_reaction,-0.013141560099296455,0.00585860556662731,-0.013189259418694364,-0.02718361315564262,0.0009481922764476202,NOISE,|IC| < 0.05
META,momentum,-0.1259975898507273,-0.12782188751830917,8.391856821868618e-05,-0.06326625847706173,-0.31481042964333883,NOISE,regime IC sign unstable
META,breakout,-0.1173867319483789,-0.011433848126527918,-0.03580044999686502,-0.1368480743916729,-0.1795116714565988,MARKET_EXPOSURE,IC collapses after SPY/sector/momentum neutralization
META,mean_reversion,0.10634098937733373,0.04271102195251605,0.03777122404591155,0.10450388816419307,0.1767478559218966,NOISE,regime IC sign unstable
META,earnings_reaction,0.011544317089193965,0.06277427961910496,0.05135756956690527,0.07761767430818355,-0.09434229260750693,NOISE,|IC| < 0.05
JPM,momentum,-0.13984034136195186,-0.07632588822005391,-0.040403760204556174,-0.10925886329115632,-0.26985840059014304,NOISE,regime IC sign unstable
JPM,breakout,-0.08005508374391722,0.09601147848906771,-0.026122091172742418,-0.04433286370731637,-0.16971029635169288,NOISE,regime IC sign unstable
JPM,mean_reversion,0.13206411613654037,-0.04271307352573431,0.039065216062053966,0.09022634770097247,0.2669007846465947,NOISE,regime IC sign unstable
JPM,earnings_reaction,-0.017929764218827225,0.014743300426584553,-0.006029221663612795,0.0015548808331983307,-0.04931495182606721,NOISE,|IC| < 0.05
UNH,momentum,-0.13476404281207358,-0.041951238154290804,-0.05050685649668416,-0.09095582633352693,-0.2628294456060097,NOISE,regime IC sign unstable
UNH,breakout,-0.0693274593963662,0.03455627551859356,-0.004325196703722917,-0.028428827207368938,-0.17522835427800673,NOISE,regime IC sign unstable
UNH,mean_reversion,0.026897354957739428,-0.06805368238635652,-0.0249748866624156,-0.049943958929341226,0.1556109104649751,NOISE,|IC| < 0.05
UNH,earnings_reaction,-0.02096811350032228,0.015822600519393024,-0.0069052312765940605,-0.04603370011718469,-0.009965409107188093,NOISE,|IC| < 0.05
XOM,momentum,0.012992143244214625,-0.05458249970526938,-0.006880623272530446,0.008029189698365411,0.03782786330680891,NOISE,|IC| < 0.05
XOM,breakout,-0.12821543464895266,-0.07495606875432172,-0.07445985928175465,-0.1444050215338693,-0.16578142313123398,NOISE,regime IC sign unstable
XOM,mean_reversion,0.12905103673909082,0.10567103193689542,0.07133367108952578,0.1536383027561458,0.16218113637160092,NOISE,regime IC sign unstable
XOM,earnings_reaction,-0.044312918872886485,-0.025036271951822286,-0.032847202732535934,-0.008618512194897376,-0.09147304169122615,NOISE,|IC| < 0.05
