signal,target,ic_1d,ic_5d,ic_20d,ic_20d_neutral_spy,ic_rolling_60d_mean,quintile_spread_20d,quintile_spread_20d_neutral,leakage_risk
earnings_mean_QQQ,QQQ,-0.09722031905507315,-0.1227492675330556,-0.24284691036771136,-0.2459492203961231,-0.008281640454818958,-0.0103754999392952,-0.022648867934565095,HIGH
earnings_mean_QQQ,IWM,-0.06318697204740245,0.05286391338342289,0.19435991309350734,0.18944479561736202,0.5211733904912128,0.03849452173608004,0.027835775326735396,HIGH
earnings_mean_QQQ,XLK,-0.1400879597902326,-0.16037696237326723,-0.27899205130972804,-0.28058364938895913,-0.05832543399813384,-0.020653086942069996,-0.036921503575469354,HIGH
earnings_mean_QQQ,XLF,-0.023401389335969986,0.03003266283148869,0.038270859127766135,0.009968394437420987,0.2898060350413959,0.02001404856555302,0.010411427201199563,HIGH
earnings_mean_QQQ,XLE,0.04096807148538002,0.08836588751810306,0.2695320765975244,0.28421407501053525,0.3194935616010438,0.005906905522681853,0.021593938714258985,HIGH
earnings_breadth_QQQ,SPY,0.03378120039544456,0.15958824018253598,0.3417758929421566,0.22024652338811632,0.4572962588541289,0.02343244384096591,0.020699960038638686,HIGH
earnings_breadth_QQQ,QQQ,0.0015140301815720209,0.06648985260162592,0.2816537814596467,0.18814264643910664,0.3411656404371558,0.03620515343550865,0.022146546732465272,HIGH
earnings_breadth_QQQ,IWM,0.05711066108339147,0.24047434690412264,0.38735975279589924,0.20448272229245684,0.34603571178829584,0.04067753833524628,0.03227200841100235,HIGH
earnings_breadth_QQQ,XLK,-0.013692515054829511,0.10256073586416373,0.288269606093244,0.21132005899705017,0.3423635698427882,0.052252915487954195,0.03374005787952644,HIGH
earnings_breadth_QQQ,XLF,0.07006425185691559,0.2827446732514443,0.3267536463541025,0.1479361567635904,0.2651591063096169,0.013545853931404901,0.017555837552218366,HIGH
earnings_breadth_QQQ,XLE,0.011232685312565145,0.034700140551483766,-0.16124025227312733,-0.11857353560893386,0.07932153051234858,-0.01612654342315751,-0.011251565683595526,HIGH
daily_earnings_factor,SPY,-0.08874688808588961,-0.05961896720846578,0.009647964822349466,0.010413196668802051,0.24122985986196177,-0.014159816902191081,-0.01358961635702799,HIGH
daily_earnings_factor,QQQ,-0.08384118853099355,-0.10100774895475986,-0.05840555251604984,-0.05793294896433911,0.0960663922172983,-0.02032515646927586,-0.01954882636065423,HIGH
daily_earnings_factor,IWM,-0.044862169750481434,0.06681772497887986,0.3582490286493173,0.36047405509288927,0.6212987721697768,0.016850110333221917,0.01675843854598253,HIGH
daily_earnings_factor,XLK,-0.09162349574525833,-0.14637018859513343,-0.09126988643197126,-0.09224428784966902,0.06079603429092568,-0.02999466766982324,-0.029606434592655273,HIGH
daily_earnings_factor,XLF,-0.025595248962062066,0.04656568387019184,0.17883886089035467,0.18495515695067266,0.3760500882589139,0.005659407842786534,0.005036171564139969,HIGH
daily_earnings_factor,XLE,-0.016366456828324532,-0.04459273342671829,0.09697171102785335,0.09530215673713432,0.17874472256394144,0.015301899117521767,0.0136451328503382,HIGH
macro_rates_change,SPY,0.011189980864915463,-0.13340181570041806,-0.0688836965012181,-0.0735413148401667,-0.07212558413291274,-0.006263414531702236,-0.003441471620573164,MEDIUM
macro_rates_change,QQQ,0.000628221874473388,-0.1321308855731936,-0.09235489699184829,-0.09679434013170386,-0.11854792937549519,-0.01676084157193759,-0.012387714360918855,MEDIUM
