signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
gap_extension,QQQ,1,0.012143142333964687,-0.07646333236033041,-0.0002656909281194791,"{1: 0.0005409771175608124, 2: 0.0023898546041043233, 3: 0.0003911736573429029, 4: 0.0012683986591193847, 5: 0.0002752861894413333}",0.5362903225806451,496,0.057572305550281616
gap_extension,QQQ,5,-0.030458105897245256,-0.1158097944465199,-0.0036601123500406138,"{1: 0.008300680751398339, 2: 0.006275142295174581, 3: 0.0019580497293363295, 4: 0.003994746583471453, 5: 0.004640568401357725}",0.5020325203252033,492,-0.0004093170914409032
gap_extension,QQQ,10,-0.018300753823245718,-0.054345574041956016,0.002491970213244963,"{1: 0.013101569803320216, 2: 0.00910029409330283, 3: 0.006329684983899254, 4: 0.00571290800652079, 5: 0.01559354001656518}",0.5051334702258727,487,-0.010475310989190072
gap_extension,QQQ,20,0.015897635599593903,-0.014069524814849483,0.011968203844261664,"{1: 0.01987816564002328, 2: 0.019115023188408065, 3: 0.00791703668096228, 4: 0.011940172834426851, 5: 0.031846369484284945}",0.5576519916142557,477,0.030095525474633837
exhaustion_composite,QQQ,1,0.046018356356810355,0.09691372995280831,0.0015848456308716163,"{1: 0.0010963321759862488, 2: 0.00010219397841175426, 3: 0.00026321329534881977, 4: 0.0007466939755824553, 5: 0.002681177806857865}",0.47,500,0.06969712763277579
exhaustion_composite,QQQ,5,0.005160480710293799,0.01744494622429828,0.002331013158722339,"{1: 0.0004974054142690487, 2: 0.005188840105009207, 3: 0.009548736772442641, 4: 0.006939454116537018, 5: 0.0028284185729913875}",0.4112903225806452,496,-0.01960938435550075
exhaustion_composite,QQQ,10,0.07954938441263514,0.11760359058389509,0.009093605684874526,"{1: 0.005453425068561247, 2: 0.0043249092087679466, 3: 0.011798957314553972, 4: 0.013983926834756659, 5: 0.014547030753435773}",0.45621181262729127,491,0.061631580073646455
exhaustion_composite,QQQ,20,0.0329773037820546,0.10142730719377197,0.014570525090436536,"{1: 0.012115617865041098, 2: 0.018107752631630433, 3: 0.018067850292841078, 4: 0.01751046112059487, 5: 0.026686142955477634}",0.41995841995842,481,0.09957428405199313
volume_zscore_20d,XLK,1,-0.015003211819495743,0.02042740369591041,-0.0003209194916601252,"{1: 0.0014784965983916099, 2: -0.0002490967460084074, 3: 0.002234387991994854, 4: 0.0003966573564569721, 5: 0.0011575771067314847}",0.4791666666666667,480,-0.01503267973856209
volume_zscore_20d,XLK,5,0.0018449008203082623,0.030414208407875377,0.003598875546956751,"{1: 0.002831121340191102, 2: 0.010384560771045093, 3: 0.0032923354230057823, 4: 0.003840273096042516, 5: 0.006429996887147853}",0.5084033613445378,476,-6.127653936603624e-05
