etf,event,n,mean,median,std,volatility_ann,p05,p25,p75,p95,skewness,kurtosis,left_tail_freq,prob_correction_gt_5pct,prob_continued_rally_gt_2pct,mean_max_drawdown,drawdown_prob_gt_3pct,horizon,event_count,comparison,mean_diff,left_tail_diff,correction_prob_diff
QQQ,A_narrow_rally,58.0,0.005394031099505251,0.007715973334575521,0.02298538577918693,0.08159002566899594,-0.038334782914602974,-0.006100376736316582,0.018634265701184594,0.03708283138125799,-0.9975835114773057,1.9345910390978687,0.10344827586206896,0.034482758620689655,0.22413793103448276,-0.01122525094990164,0.10344827586206896,5,58.0,,,,
QQQ,A_narrow_rally,57.0,0.006965105998597602,0.010305738089020577,0.026927723047357778,0.09558393475522736,-0.047682013775776765,-0.003947639050520091,0.027113804773786,0.042715204149284855,-0.7386376844426776,0.3264021708254159,0.10526315789473684,0.05263157894736842,0.3157894736842105,-0.023330034646895603,0.2982456140350877,10,58.0,,,,
QQQ,A_narrow_rally,57.0,0.016275750874021874,0.02991662401438533,0.04189465128782198,0.14871125970233515,-0.07412069632664466,-0.0028362406927874284,0.04351108531499093,0.05950006831478526,-1.111948696562544,0.581919662693096,0.10526315789473684,0.12280701754385964,0.5964912280701754,-0.03830986768660207,0.43859649122807015,20,58.0,,,,
QQQ,A_narrow_rally,,,,,,,,,,,,,,,,,20,,vs_unconditional,-0.000696970282899674,0.004982371693373011,0.012498152722359449
QQQ,B_passive_dominance,9.0,-0.00971336141551693,-0.001521618780625178,0.0358121017388432,0.1271203506524861,-0.06335538811345573,-0.03396845202061016,0.0043682762254062535,0.03200612578900568,-0.8625168965991055,0.6975453765989217,0.1111111111111111,0.1111111111111111,0.2222222222222222,-0.023116742170510005,0.3333333333333333,5,9.0,,,,
QQQ,B_passive_dominance,9.0,-0.005981042984680311,-0.0007451072745411347,0.04141715754474691,0.14701632505435736,-0.07474394017101489,-0.0037829250069401077,0.026947646447686324,0.03277366961582664,-1.0989086360695195,-0.05982545267027817,0.1111111111111111,0.2222222222222222,0.3333333333333333,-0.036295055480313296,0.4444444444444444,10,9.0,,,,
QQQ,B_passive_dominance,9.0,-0.014462687114128903,0.0052016916082313625,0.0477877295631482,0.16962961244926375,-0.08208597568506168,-0.04152203204558602,0.009426459714665159,0.0433783022348535,-0.5231902040361486,-0.024994274464078536,0.1111111111111111,0.2222222222222222,0.2222222222222222,-0.05896181922573359,0.6666666666666666,20,9.0,,,,
QQQ,B_passive_dominance,,,,,,,,,,,,,,,,,20,,vs_unconditional,-0.03143540827105045,0.01083032490974728,0.11191335740072202
QQQ,C_participation_recovery,116.0,0.004315263623544321,0.006028698008170408,0.02900324100302916,0.10295129264543199,-0.04403523677539989,-0.012760337430417629,0.01952050953355916,0.04985908036747316,-0.31732056557293603,1.3391453462581953,0.10344827586206896,0.034482758620689655,0.2413793103448276,-0.014553716666166575,0.13793103448275862,5,116.0,,,,
QQQ,C_participation_recovery,116.0,0.008661538652441538,0.010352682071295138,0.042437623854714064,0.15063862111779594,-0.06866333637922775,-0.01598878595033032,0.03425796303491685,0.07719488344334408,-0.15517524432614718,0.6878143294305827,0.10344827586206896,0.09482758620689655,0.3793103448275862,-0.027826595735725827,0.33620689655172414,10,116.0,,,,
