feature,hypothesis,neutralization,horizon,ic_spearman,quintile_spread,hit_ratio,n_stock_days,bootstrap_survival,bootstrap_ic_p05,bootstrap_ic_p95,residual_sharpe_proxy,rolling_ic_last,ic_regime_on,ic_regime_off,n_days_on,n_days_off
breadth_pct_above_ma50,B_sector_breadth_deterioration,momentum_neutral,20,0.03712482042463235,-0.012255619914260992,0.5263867534003548,43835,,,,,,,,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,raw,5,-0.008948879372799916,-0.00039718362769571545,0.49451307888743185,58422,0.94,-0.018583154180562635,0.00033195510453250845,-0.4124561096463454,0.025992403617737695,-0.006475510120261686,-0.013806931330972608,493.0,251.0
breadth_ew_cap_divergence,B_sector_breadth_deterioration,raw,20,-0.007390838879466566,-0.0075195753545540325,0.4950692071989575,58422,0.86,-0.017582541795933146,0.005175201034285023,0.4203020478233611,0.014151662582494203,-0.00975191036837477,-0.0028944557252907773,478.0,251.0
breadth_ew_cap_divergence,B_sector_breadth_deterioration,sector_neutral,5,-0.0024036360101150275,0.0015516240281485362,0.183069915108013,58422,,,,,,,,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,sector_neutral,20,0.0062127454410916974,0.0003762040299957435,0.18252738351002007,58422,,,,,,,,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,beta_neutral,5,-0.0046649766477193716,-0.0006995870223752039,0.49668533749290983,56862,,,,,,,,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,beta_neutral,20,-0.006215634694184261,-0.006953385801039654,0.4942982297360895,56862,,,,,,,,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,momentum_neutral,5,-0.002385845805613056,-0.001891613789325244,0.49257682126827024,43835,,,,,,,,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,momentum_neutral,20,-0.0047045259569854486,-0.006517141308676075,0.49121230041395625,43835,,,,,,,,,
breadth_new_high_participation,B_sector_breadth_deterioration,raw,5,5.2590815294697425e-05,-0.0015170251368257243,0.3555064521831359,57018,0.5,-0.013081734534779746,0.012896726901261372,0.5328061414610087,0.0391096202960273,0.007710784925879447,-0.016887193392450376,480.0,217.0
breadth_new_high_participation,B_sector_breadth_deterioration,raw,20,0.017447648918362865,-9.776975056589171e-05,0.3687184115523466,57018,1.0,0.005728743456792027,0.028234128339086853,0.5818708976837652,0.034229781284540045,0.022442461469187297,0.006721461597237579,466.0,217.0
breadth_new_high_participation,B_sector_breadth_deterioration,sector_neutral,5,0.004684240406715251,-0.0019590972489829045,0.1733427611808379,57018,,,,,,,,,
breadth_new_high_participation,B_sector_breadth_deterioration,sector_neutral,20,0.01818491524995752,-0.00367510580704751,0.1790794223826715,57018,,,,,,,,,
breadth_new_high_participation,B_sector_breadth_deterioration,beta_neutral,5,-0.0009418624154723478,-0.0014182779311485753,0.5205160821370162,55458,,,,,,,,,
breadth_new_high_participation,B_sector_breadth_deterioration,beta_neutral,20,0.014645866223307696,-0.0021975713215889973,0.5268659487560342,55458,,,,,,,,,
breadth_new_high_participation,B_sector_breadth_deterioration,momentum_neutral,5,0.004710863129423035,-0.001622884180587988,0.5097939924041892,43835,,,,,,,,,
breadth_new_high_participation,B_sector_breadth_deterioration,momentum_neutral,20,0.030613471302067895,0.003334514883922805,0.5239739798935541,43835,,,,,,,,,
breadth_return_dispersion,B_sector_breadth_deterioration,raw,5,0.03415917101695379,0.005312051578193325,0.5355269514804334,58422,1.0,0.023117515271808373,0.04747012172244675,2.590405244938265,0.11380486358677237,0.035239127930190524,0.03203798074513823,493.0,251.0
breadth_return_dispersion,B_sector_breadth_deterioration,raw,20,0.03460019032902875,0.007042732398639871,0.5548726798858874,58422,1.0,0.025216707335937227,0.042130537462447305,1.8682091333726893,0.14472424618176952,0.019952015724972908,0.06249591726424268,478.0,251.0
breadth_return_dispersion,B_sector_breadth_deterioration,sector_neutral,5,-0.006606762586589481,-0.0018257560586215455,0.23190006211608807,58422,,,,,,,,,
breadth_return_dispersion,B_sector_breadth_deterioration,sector_neutral,20,-0.01272906182437828,-0.0025636365080294807,0.22774979748529567,58422,,,,,,,,,
breadth_return_dispersion,B_sector_breadth_deterioration,beta_neutral,5,0.032148846195760424,0.005841379156495225,0.5324376063528077,56862,,,,,,,,,
breadth_return_dispersion,B_sector_breadth_deterioration,beta_neutral,20,0.0326124506871016,0.008667524392898663,0.5487094088259784,56862,,,,,,,,,
breadth_return_dispersion,B_sector_breadth_deterioration,momentum_neutral,5,0.04277300908270598,0.006586979994828327,0.5232362757509494,43835,,,,,,,,,
breadth_return_dispersion,B_sector_breadth_deterioration,momentum_neutral,20,0.05932317115687881,0.022063783518985865,0.5403666469544648,43835,,,,,,,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,raw,5,0.0012491839804309212,0.0017211343914801105,0.4949807906803817,73121,0.58,-0.007326748974369765,0.009495836637198097,-1.049147665058496,0.055782978297829786,0.0015493340186264117,0.0006168165922669208,493.0,234.0
liq_volume_zscore_20d,C_liquidity_exhaustion,raw,20,0.0051378756924311585,0.006226691399908417,0.49424220694309695,73121,0.86,-0.001793428760875813,0.010684128584072866,-1.0923972377584272,0.07371717171717171,0.007358844671077988,0.0006010245309218239,478.0,234.0
liq_volume_zscore_20d,C_liquidity_exhaustion,sector_neutral,5,0.003937182564313316,0.000746924822906378,0.49364508888613484,73121,,,,,,,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,sector_neutral,20,0.0008282484597186142,0.0002597129013463262,0.4921331252372717,73121,,,,,,,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,beta_neutral,5,0.0029594846606681713,0.0023274841063155747,0.49810962744792625,71121,,,,,,,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,beta_neutral,20,0.0052129836581099615,0.0074280874020763235,0.4964048552538302,71121,,,,,,,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,momentum_neutral,5,0.001220127784862165,0.0016041766785013303,0.4984117298684517,56221,,,,,,,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,momentum_neutral,20,0.01527497831352309,0.013106112223545224,0.5069991331771823,56221,,,,,,,,,
liq_extension_20d,C_liquidity_exhaustion,raw,5,-0.004139614323637325,-0.00041149783752465405,0.4954902851792181,73121,0.8,-0.015895087800887327,0.01053065641427328,1.2708760837521584,-0.036875087508750876,0.004503383623436273,-0.022349007434352208,493.0,234.0
liq_extension_20d,C_liquidity_exhaustion,raw,20,0.016165181576213123,0.0031844002143490077,0.5054344005286765,73121,1.0,0.004430933046885796,0.025096181431494,1.827731166276679,-0.09315291529152915,0.020835564728020922,0.0066248262490160035,478.0,234.0
liq_extension_20d,C_liquidity_exhaustion,sector_neutral,5,0.000497940150749107,0.002726957338443266,0.5022238746368131,73121,,,,,,,,,
liq_extension_20d,C_liquidity_exhaustion,sector_neutral,20,0.01570531277160385,0.00974771951250604,0.5128864892225925,73121,,,,,,,,,
liq_extension_20d,C_liquidity_exhaustion,beta_neutral,5,-0.002104629476128238,-0.0004801444965026368,0.49500856685688394,71121,,,,,,,,,
liq_extension_20d,C_liquidity_exhaustion,beta_neutral,20,0.01973234341867691,0.004080656866844248,0.506908175518294,71121,,,,,,,,,
liq_extension_20d,C_liquidity_exhaustion,momentum_neutral,5,-0.002708848512998341,-0.0012744955696483828,0.49539670860178386,56221,,,,,,,,,
liq_extension_20d,C_liquidity_exhaustion,momentum_neutral,20,0.010262859984666627,-0.0005011533818158123,0.501945740580218,56221,,,,,,,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,raw,5,-0.000563912231496004,-0.0029935817266159093,0.0364374639846692,75200,0.4,-0.006484838379579302,0.005649889850275231,0.8651178946614353,-0.030783743211051203,0.003330558475409942,-0.009585776532418825,461.0,199.0
liq_failed_breakout_20d,C_liquidity_exhaustion,raw,20,0.005792085843955548,-0.011812247655846389,0.03786873811900822,75200,0.92,-0.0007870771533177157,0.013432082926453507,2.0228255394146837,-0.023559835394720247,0.010883746212052497,-0.005619374076502938,446.0,199.0
liq_failed_breakout_20d,C_liquidity_exhaustion,sector_neutral,5,0.003926484077945081,0.001141409766823186,0.2235831736374479,75200,,,,,,,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,sector_neutral,20,0.00991273135388144,0.00405695374302714,0.22071634687709413,75200,,,,,,,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,beta_neutral,5,0.0029376658399090944,0.0003444164316857845,0.4696589561908963,73100,,,,,,,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,beta_neutral,20,0.0035779035765459584,-0.0011969907170841544,0.4711438304101799,73100,,,,,,,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,momentum_neutral,5,0.0029413234764674636,0.0008019421926897118,0.4749555822759821,56221,,,,,,,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,momentum_neutral,20,0.005242048894164555,0.004617089766725712,0.47573818262296896,56221,,,,,,,,,
liq_gap_reversal,C_liquidity_exhaustion,raw,5,0.0008643316350803639,-0.0010063338264409772,0.49013029884193715,75021,0.58,-0.0073997637552843006,0.009050633262686836,2.014942317852935,-0.036396304866089184,-0.003078533879562007,0.008547464831596921,493.0,253.0
liq_gap_reversal,C_liquidity_exhaustion,raw,20,-0.010812466474680423,-0.006073129200516711,0.4865312718259131,75021,0.96,-0.020482329171164843,-0.0012100821153947215,0.3289277180412107,-0.044038187146028786,-0.00847834919579211,-0.015222379752580083,478.0,253.0
liq_gap_reversal,C_liquidity_exhaustion,sector_neutral,5,0.0009459028122218038,0.00065664880409052,0.4981951396250721,75021,,,,,,,,,
liq_gap_reversal,C_liquidity_exhaustion,sector_neutral,20,-0.007035001810818381,-0.002210230744994556,0.49892496679037535,75021,,,,,,,,,
liq_gap_reversal,C_liquidity_exhaustion,beta_neutral,5,0.0015880770109289889,-0.0019385794660386323,0.500048261882765,73021,,,,,,,,,
liq_gap_reversal,C_liquidity_exhaustion,beta_neutral,20,-0.007232312606132385,-0.006718870927202955,0.49834555976401346,73021,,,,,,,,,
liq_gap_reversal,C_liquidity_exhaustion,momentum_neutral,5,-0.004729132724716302,-0.0008526050432947144,0.49615046391845086,56221,,,,,,,,,
liq_gap_reversal,C_liquidity_exhaustion,momentum_neutral,20,-0.026909912850721012,-0.00821185000021529,0.4906586009110861,56221,,,,,,,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,raw,5,0.007482425795407662,0.0006722786421268891,0.5292673846196274,73021,0.98,0.00021028214415644248,0.016560151224339417,1.1857816498789082,0.08383058305830585,0.007390597402590231,0.00767672363943768,493.0,233.0
liq_vol_expansion_5_20,C_liquidity_exhaustion,raw,20,0.010368930155332684,0.00037479347467478386,0.5409667563115135,73021,0.96,0.002294065743809109,0.017572482574531874,0.08631564844016278,0.07128192819281928,0.00845803408792762,0.014289137538249504,478.0,233.0
liq_vol_expansion_5_20,C_liquidity_exhaustion,sector_neutral,5,0.0038117912414471255,0.00012941597936883074,0.5010962341942334,73021,,,,,,,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,sector_neutral,20,0.00662270654543441,-0.0005327997977883601,0.49919038031004914,73021,,,,,,,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,beta_neutral,5,0.008592242932939581,0.0013395314540021203,0.5252052580082529,71021,,,,,,,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,beta_neutral,20,0.009743711268491531,0.0004100067368058881,0.538082612538213,71021,,,,,,,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,momentum_neutral,5,0.017927593710914406,0.0033010617065687715,0.5190143751906822,56221,,,,,,,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,momentum_neutral,20,0.02408174836294332,0.014038686809966247,0.5250917541174084,56221,,,,,,,,,
