signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
pct_new_20d_high,QQQ,20,-0.002994072183800891,-0.006669100448929957,0.0018163714125573448,"{1: 0.015538849203388995, 2: 0.022406867986047643, 3: 0.01575741142698345, 4: 0.012936342952485903, 5: 0.01735522061594634}",0.43817787418655096,461,0.02220019919336548
pct_positive_5d_return,QQQ,1,0.008574255407050821,0.022069900670682548,0.0004947164814316566,"{1: 0.0002898346294533329, 2: 0.0011144059082208162, 3: 0.0010774160493873435, 4: 0.0016488653667209251, 5: 0.0007845511108849895}",0.5566801619433198,494,0.003422468917951333
pct_positive_5d_return,QQQ,5,0.007923326811947493,0.031131848742099646,0.0037103070267003324,"{1: 0.0020708060190453527, 2: 0.008813261198254412, 3: 0.003437135665264503, 4: 0.005424194782861032, 5: 0.005781113045745685}",0.573469387755102,490,-0.05484008224560045
pct_positive_5d_return,QQQ,10,0.0006156945858784575,0.015194850872531284,0.00135610238239562,"{1: 0.010463594640670029, 2: 0.01278448810604338, 3: 0.006679455344845591, 4: 0.008044660589114265, 5: 0.011819697023065649}",0.6,485,-0.050086370796892835
pct_positive_5d_return,QQQ,20,-0.01158527360908971,-0.014844385517151656,0.0005272088012614404,"{1: 0.02590619666077741, 2: 0.021004240704361746, 3: 0.0012612999053598958, 4: 0.015634722532256933, 5: 0.02643340546203885}",0.6484210526315789,475,-0.0521640091116173
median_component_return,QQQ,1,0.05427718057627461,0.08098934590298495,0.001754018377985547,"{1: -9.144023837135307e-05, 2: 0.0014572933531608147, 3: -0.0012669769424340526, 4: 0.003156707390278195, 5: 0.0016625781396141937}",0.5321285140562249,498,0.08252766330252116
median_component_return,QQQ,5,0.037371041470539705,0.019427592009748213,0.0031563028415783514,"{1: 0.0028627302133121253, 2: 0.005290635229413529, 3: 0.0038400433870988547, 4: 0.006914125487565449, 5: 0.006019033054890477}",0.5080971659919028,494,-0.003894054009982598
median_component_return,QQQ,10,0.026024872384838485,0.027392692346129253,-0.000361421742209456,"{1: 0.010961832187859498, 2: 0.00829031433312044, 3: 0.008346442064093476, 4: 0.011889121050174476, 5: 0.010600410445650042}",0.50920245398773,489,-0.02061975614694394
median_component_return,QQQ,20,-0.005383753635974529,0.01457160315492826,-0.0038966377520362715,"{1: 0.021807392819281332, 2: 0.013640718967797423, 3: 0.02047624719488484, 4: 0.017711732322335052, 5: 0.01791075506724506}",0.5323590814196242,479,-0.050285477620329554
return_dispersion,QQQ,1,-0.0005963297470799154,-0.02561543420284578,-4.583777801512868e-05,"{1: 0.0002776739234872716, 2: 0.0025683399431371797, 3: 0.000777378029134721, 4: 0.0010530071242560244, 5: 0.00023183614547214292}",0.5803212851405622,498,-0.02157259840839063
return_dispersion,QQQ,5,-0.010257554978383418,-0.023207973781191226,0.0021661064408247123,"{1: 0.0021169929815240992, 2: 0.008058066644528973, 3: 0.00467661618198586, 4: 0.005800242372144076, 5: 0.004283099422348812}",0.5931174089068826,494,-0.006536971028044527
return_dispersion,QQQ,10,0.03842258013534289,0.010973328335400524,0.006330689538222814,"{1: 0.005760722783581602, 2: 0.012776764886405731, 3: 0.00941598658900747, 4: 0.010054147219740694, 5: 0.012091412321804416}",0.6380368098159509,489,0.046647209780459824
return_dispersion,QQQ,20,-0.0645703217127733,-0.06504036062046627,-0.007162887075956309,"{1: 0.020775018439338783, 2: 0.01934777418985433, 3: 0.020859075084964582, 4: 0.0169568350845252, 5: 0.013612131363382475}",0.6910229645093946,479,0.00014847935446698872
equal_weight_vs_cap_weight,QQQ,1,-0.029108810333571072,-0.009278104057064184,-0.0009399404391763644,"{1: 0.0015287371169289566, 2: -0.0006372900307832629, 3: 0.0016632803486067904, 4: 0.0017395198808085846, 5: 0.0005887966777525922}",0.4919678714859438,498,0.018288244352864236
equal_weight_vs_cap_weight,QQQ,5,-0.08180606269642247,-0.07476936338273346,-0.0034823224035107404,"{1: 0.005390441047381912, 2: 0.0048146033630296235, 3: 0.009180810772572589, 4: 0.0036865406907329546, 5: 0.0019081186438711715}",0.48582995951417,494,0.017647898125523906
equal_weight_vs_cap_weight,QQQ,10,-0.09638931706646253,-0.07428230408712438,-0.003857612544814896,"{1: 0.01042498479096324, 2: 0.015195184337230964, 3: 0.00997382910055926, 4: 0.007943355596164143, 5: 0.006567372246148343}",0.4458077709611452,489,-0.017691412467880502
equal_weight_vs_cap_weight,QQQ,20,-0.026259488474069937,-0.010142258099015615,-0.002475959705342312,"{1: 0.015345469976049776, 2: 0.022993588655173165, 3: 0.02100981496531146, 4: 0.019334020501910455, 5: 0.012869510270707464}",0.5010438413361169,479,-0.013353421716584749
advance_decline_ratio,QQQ,1,0.027847182461833556,0.06382725446713593,0.0031734804669718256,"{1: -0.0006253796906086718, 2: 0.0015947829002546565, 3: -0.0006508598461166291, 4: 0.0012178747291283574, 5: 0.0025481007763631536}",0.5397849462365591,465,0.08417195373867226
advance_decline_ratio,QQQ,5,0.015475903091351086,0.01607409998085531,0.0009382678025293793,"{1: 0.004473543023290444, 2: 0.0030346446860741666, 3: 0.0046396720490083755, 4: 0.005762335818785966, 5: 0.0054118108258198235}",0.544468546637744,461,-0.010116989883961407
advance_decline_ratio,QQQ,10,0.0027359658877054247,-0.0219118862432557,-0.0023367579794849186,"{1: 0.011167059313203968, 2: 0.005439645496260292, 3: 0.012794104672939842, 4: 0.010363340597398353, 5: 0.00883030133371905}",0.5942982456140351,456,-0.0029191523852094853
advance_decline_ratio,QQQ,20,-0.04401272781535939,-0.03314404518694182,-0.011523157313520693,"{1: 0.02685434798253396, 2: 0.006900180967351042, 3: 0.02239896557286819, 4: 0.01621669353672753, 5: 0.015331190669013268}",0.6420581655480985,447,-0.03951391397992795
breadth_thrust,QQQ,1,-0.005208203096656051,0.02000708691666676,0.0010074684070553697,"{1: 0.0010707692630493812, 2: 0.0017079321273314487, 3: -0.0009470088018923093, 4: 0.0006391644471874838, 5: 0.002078237670104751}",0.3936842105263158,475,-0.010143241872896405
breadth_thrust,QQQ,5,-0.0036490938511377427,0.012893378209105515,-0.0010457486948509697,"{1: 0.00415005257954693, 2: 0.0028852544648052727, 3: 0.007430011934213528, 4: 0.005589610001288483, 5: 0.0031043038846959603}",0.37579617834394907,471,-0.10634159422849254
breadth_thrust,QQQ,10,0.02143788038067746,0.05478783526213742,0.004558514987405163,"{1: 0.005112604237575663, 2: 0.008927760472820165, 3: 0.007403676534494217, 4: 0.013486071040975942, 5: 0.009671119224980826}",0.37553648068669526,466,-0.062126205066070875
breadth_thrust,QQQ,20,-0.054524640214809295,0.029415763030159314,0.0022910664511724584,"{1: 0.023726769598907536, 2: 0.0200406857597368, 3: 0.004154112444061701, 4: 0.011271409198129191, 5: 0.026017836050079995}",0.3706140350877193,456,-0.11310428802981416
breadth_divergence,QQQ,1,0.03643003288027502,0.025373205732662357,0.00020790814339955365,"{1: 0.00043816272799788026, 2: 0.0008618555373413204, 3: 0.0016138905937871833, 4: 0.0008024839340936184, 5: 0.0006460708713974339}",0.44042553191489364,470,0.01619517462637676
