ticker,idea,regime,ic_5d
META,breakout,bull,-0.11984517293988503
META,breakout,bear,-0.02195582153670218
META,breakout,high_vol,-0.11991997646402495
META,breakout,low_vol,-0.09049335675173041
META,mean_reversion,bull,0.08945593980762548
META,mean_reversion,bear,-0.12109777015437391
META,mean_reversion,high_vol,0.06586165257892013
META,mean_reversion,low_vol,0.0879788144265076
META,earnings_reaction,bull,0.06694349735131414
META,earnings_reaction,bear,0.10120068610634647
META,earnings_reaction,high_vol,0.10702180531402541
META,earnings_reaction,low_vol,0.03732872405741211
JPM,momentum,bull,-0.005404661610274031
JPM,momentum,bear,-0.2125786163522012
JPM,momentum,high_vol,0.0414755933721451
JPM,momentum,low_vol,-0.16814339511778215
JPM,breakout,bull,0.05567566073169855
JPM,breakout,bear,-0.04663578325727386
JPM,breakout,high_vol,0.05393744847151662
JPM,breakout,low_vol,-0.041296932575310086
JPM,mean_reversion,bull,-0.021277834000885874
JPM,mean_reversion,bear,0.14473032208881262
JPM,mean_reversion,high_vol,0.04553613472019543
JPM,mean_reversion,low_vol,0.07335997968236432
JPM,earnings_reaction,bull,0.005628260609030506
JPM,earnings_reaction,bear,-0.11964932342290831
JPM,earnings_reaction,high_vol,-0.008611164208887169
JPM,earnings_reaction,low_vol,-0.01564408631049983
UNH,momentum,bull,-0.10761511336184215
UNH,momentum,bear,0.11217838765008574
UNH,momentum,high_vol,0.02540080609046126
UNH,momentum,low_vol,-0.17589371561348216
UNH,breakout,bull,-0.09099300086135613
UNH,breakout,bear,0.23830825123457436
UNH,breakout,high_vol,0.08336245881631003
UNH,breakout,low_vol,-0.06855984718350346
UNH,mean_reversion,bull,-0.017359065867433562
UNH,mean_reversion,bear,-0.10722317514770344
UNH,mean_reversion,high_vol,-0.11625118304435192
UNH,mean_reversion,low_vol,-0.03749244869427136
UNH,earnings_reaction,bull,-0.09653240168468331
UNH,earnings_reaction,bear,0.19374880884314843
UNH,earnings_reaction,high_vol,0.012738182377651069
UNH,earnings_reaction,low_vol,-0.10316476764169946
XOM,momentum,bull,0.13229666624998423
XOM,momentum,bear,-0.49456832475700396
XOM,momentum,high_vol,-0.21890729959695476
XOM,momentum,low_vol,0.2613742588536937
XOM,breakout,bull,-0.08560770493259412
XOM,breakout,bear,-0.2924935022842613
XOM,breakout,high_vol,-0.2737613941195006
XOM,breakout,low_vol,0.010628701977645875
XOM,mean_reversion,bull,0.040198497320565164
XOM,mean_reversion,bear,0.529178578235182
XOM,mean_reversion,high_vol,0.3768967173141746
XOM,mean_reversion,low_vol,-0.05909325153676776
XOM,earnings_reaction,bull,0.020959244721415124
XOM,earnings_reaction,bear,0.0814560701353154
XOM,earnings_reaction,high_vol,0.002244404141937349
XOM,earnings_reaction,low_vol,0.03911194178898754
