momentum_window,top_k,rebalance_freq,cagr,sharpe,max_drawdown_pct,turnover_annual,excess_return_vs_spy,beta_vs_spy,alpha_annualized,return_pct,trades,fragility_score_global
60,1,10D,0.3547222814055515,1.8067881675387631,12.052430866388367,6.52589641434263,0.10127176570064034,0.310202315156101,0.2481872334555185,35.30911652987729,31,0.17785365397997108
60,2,1D,0.2602700824287929,1.7063376295969053,7.2350347594516276,15.0597609561753,0.00729433548182068,0.6647248174514274,0.08696762782636194,25.91137350799533,407,0.17785365397997108
60,2,5D,0.2607067752247969,1.7833780401372914,9.591092552975072,5.52191235059761,0.007728895978373895,0.6488063990840727,0.09016203628636686,25.954829557650648,380,0.17785365397997108
60,2,10D,0.3253688255641749,2.148605185085902,8.91153486685876,3.0119521912350598,0.0720687291819635,0.6440299513811241,0.14160185917140658,32.38881287800961,365,0.17785365397997108
60,3,1D,0.24153073843198558,1.7965625549534256,7.45619001920526,15.896414342629482,-0.011354073102809004,0.7287550825962029,0.054718321312593014,24.04653264953236,613,0.17785365397997108
60,3,5D,0.2515203066545739,1.901156501738257,7.898900239039755,6.860557768924303,-0.0014128427773316687,0.7090115484448145,0.06704475491687334,25.040655682080093,574,0.17785365397997108
60,3,10D,0.2962205752406193,2.2013155369773827,7.441444686863746,4.183266932270916,0.04306730673551007,0.6969428534692456,0.10504695409203858,29.488670633364265,551,0.17785365397997108
60,4,1D,0.19572384543737642,1.5623393731321644,7.238769067963953,11.796812749003983,-0.056943418918104394,0.7747070192750729,0.005488808793982327,19.48759806800282,801,0.17785365397997108
60,4,5D,0.2230742605229481,1.7767268421278064,7.375288854625786,4.01593625498008,-0.02972208003734389,0.758280530798349,0.03185242590694006,22.20973195607887,754,0.17785365397997108
60,4,10D,0.26603215761077825,2.08920881740004,7.238711543498658,2.760956175298805,0.013028227398722558,0.7405898566916868,0.07055271317870705,26.484762699685515,729,0.17785365397997108
