Date,SPY,QQQ,IWM,XLK,XLF,XLE,portfolio
2025-07-09 00:00:00-04:00,0.0,0.0,0.0,51176.21516362973,0.0,50897.664132036116,102053.24041816253
2025-07-10 00:00:00-04:00,0.0,0.0,0.0,50738.15466177004,0.0,51537.56611857946,102275.61165821062
2025-07-11 00:00:00-04:00,0.0,0.0,0.0,50991.55038491791,0.0,51290.30039705114,102281.65824892384
2025-07-14 00:00:00-04:00,0.0,0.0,0.0,51113.04723660793,0.0,50564.50797118678,101677.48924410918
2025-07-15 00:00:00-04:00,0.0,50745.57411897077,0.0,50947.64771017129,0.0,0.0,101672.58555152896
2025-07-16 00:00:00-04:00,0.0,0.0,51034.90905151486,51010.696024683835,0.0,0.0,102025.13471130324
2025-07-17 00:00:00-04:00,0.0,51375.19513347696,0.0,51452.11448661182,0.0,0.0,102806.70669540424
2025-07-18 00:00:00-04:00,0.0,0.0,50864.28127283469,51332.0561685459,0.0,0.0,102175.60514385327
2025-07-21 00:00:00-04:00,0.0,0.0,50770.89745802026,51264.55359431406,0.0,0.0,102035.3969904394
2025-07-22 00:00:00-04:00,0.0,50723.71263001365,0.0,50585.94769444306,0.0,0.0,101289.07624738352
2025-07-23 00:00:00-04:00,0.0,50891.958893215255,0.0,50917.70687776785,0.0,0.0,101809.64047105804
2025-07-24 00:00:00-04:00,0.0,51016.14834436746,0.0,51116.95043111773,0.0,0.0,102133.09237613103
2025-07-25 00:00:00-04:00,0.0,0.0,51025.41226094487,51187.96378147298,0.0,0.0,102192.86978909832
2025-07-28 00:00:00-04:00,0.0,0.0,51027.766184170774,51513.63430992658,0.0,0.0,102541.36738632036
2025-07-29 00:00:00-04:00,0.0,0.0,50940.01913574718,51276.04765449662,0.0,0.0,102215.96985001753
2025-07-30 00:00:00-04:00,0.0,0.0,50764.9176684636,51306.206046776584,0.0,0.0,102071.08982244311
2025-07-31 00:00:00-04:00,0.0,0.0,0.0,50224.86806647842,0.0,51477.215899096955,101681.4186461935
2025-08-01 00:00:00-04:00,0.0,50002.829653392255,0.0,49923.9299718164,0.0,0.0,99906.06860618608
2025-08-04 00:00:00-04:00,0.0,50876.85138164949,0.0,50965.446106793126,0.0,0.0,101842.27812806712
2025-08-05 00:00:00-04:00,0.0,50611.01324511931,0.0,50464.37529871681,0.0,0.0,101075.35618256332
2025-08-06 00:00:00-04:00,0.0,51159.87730291564,0.0,51120.65881554119,0.0,0.0,102280.50110947543
2025-08-07 00:00:00-04:00,0.0,51401.63916086902,0.0,51099.0195614603,0.0,0.0,102500.63093706823
2025-08-08 00:00:00-04:00,0.0,51770.45239625185,0.0,51719.949023572255,0.0,0.0,103490.35720061134
2025-08-11 00:00:00-04:00,0.0,51569.30980480123,0.0,51417.61248897184,0.0,0.0,102986.90292973239
2025-08-12 00:00:00-04:00,0.0,52165.68231410726,0.0,52265.671082401066,0.0,0.0,104431.33273187195
2025-08-13 00:00:00-04:00,0.0,52270.55387707042,0.0,52206.41468535022,0.0,0.0,104476.93665915234
2025-08-14 00:00:00-04:00,0.0,52158.206776313455,0.0,52165.34517642585,0.0,0.0,104323.52311701106
2025-08-15 00:00:00-04:00,0.0,51901.48653929184,51757.48342532018,0.0,0.0,0.0,103637.96665698517
2025-08-18 00:00:00-04:00,51802.253754478086,51847.83553213899,6.4276604871960075e-12,0.0,0.0,0.0,103629.15892906845
2025-08-19 00:00:00-04:00,51508.51518231661,51136.325930875064,6.378317145283585e-12,0.0,0.0,0.0,102644.83269316648
2025-08-20 00:00:00-04:00,51159.82301336446,0.0,51124.60534008811,0.0,0.0,0.0,102263.78236139956
