Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-08-05,501.0955002341847,512.7894282399624,499.75370979338373,506.7171936035156,146267400,0.0,0.0,0.0
2024-08-06,508.51921810050686,518.8322310175004,507.19706454680966,511.3888854980469,84826300,0.0,0.0,0.0
2024-08-07,517.5785847252098,520.63433876445,507.3733501679388,507.97076416015625,70698300,0.0,0.0,0.0
2024-08-08,513.1125407389065,520.3404486814812,511.08525465156777,519.7136840820312,63276600,0.0,0.0,0.0
2024-08-09,518.8909769209239,523.4941251002426,517.6667385635127,522.0054321289062,45619600,0.0,0.0,0.0
2024-08-12,523.2003538167259,524.6889871074426,520.0075304089534,522.2797241210938,42542100,0.0,0.0,0.0
2024-08-13,525.4724436986064,531.1039393955512,525.2275960596088,530.8688354492188,52333100,0.0,0.0,0.0
2024-08-14,531.6622865517797,533.7288466275766,528.9885687226673,532.5437622070312,42446900,0.0,0.0,0.0
2024-08-15,538.1751988274788,541.9556326474029,537.5679813653051,541.671630859375,60846800,0.0,0.0,0.0
2024-08-16,540.0555939415091,543.5814362683599,539.8989177341498,542.8860473632812,44430700,0.0,0.0,0.0
2024-08-19,543.2973511166235,548.0767822265625,542.4452860411917,548.0767822265625,39121800,0.0,0.0,0.0
2024-08-20,547.6263456901657,549.2815184001456,545.8438474042439,547.1856079101562,33732300,0.0,0.0,0.0
2024-08-21,548.2335818085938,550.5253226989936,543.2974141481618,549.0660400390625,41514600,0.0,0.0,0.0
2024-08-22,550.9659542858195,551.5731716544135,543.542157059687,544.756591796875,56121500,0.0,0.0,0.0
2024-08-23,547.9984691071246,551.4850973665338,545.8045838781815,550.5448608398438,50639400,0.0,0.0,0.0
2024-08-26,551.5733022984582,552.2882384520825,547.5284135216066,549.2325439453125,35788600,0.0,0.0,0.0
2024-08-27,547.9593482100599,550.4763897351174,546.8134777136145,549.9866943359375,32693900,0.0,0.0,0.0
2024-08-28,549.6438223396717,550.0747565964821,543.6009392739261,546.7937622070312,41066000,0.0,0.0,0.0
2024-08-29,548.7624007293272,552.0629426061665,545.6969030561269,546.8427734375,38715200,0.0,0.0,0.0
2024-08-30,549.212926690368,552.5722295246512,545.657733766081,552.0629272460938,62700100,0.0,0.0,0.0
2024-09-03,548.9191307501956,549.25214992284,538.1850458833093,540.7020874023438,60600100,0.0,0.0,0.0
2024-09-04,538.8607938634791,543.0035975400444,538.1360542845994,539.5953369140625,47224900,0.0,0.0,0.0
2024-09-05,539.5365467142444,542.3865472945482,535.8246177750381,538.2828979492188,44264300,0.0,0.0,0.0
2024-09-06,538.60608979078,540.231851947678,528.3224880929642,529.2235107421875,68493800,0.0,0.0,0.0
2024-09-09,533.4251872668898,536.4221205223048,531.4957564364314,535.1488647460938,40445800,0.0,0.0,0.0
2024-09-10,537.0587275255268,537.8324845189911,532.1813804449696,537.4798583984375,36394600,0.0,0.0,0.0
2024-09-11,537.3917487162622,543.9144652005341,528.8318826121556,542.9938354492188,75248600,0.0,0.0,0.0
2024-09-12,543.5716351743016,547.8711746400817,541.3483991843773,547.5675659179688,51819600,0.0,0.0,0.0
2024-09-13,548.1747207597754,551.4263046450518,547.920069645679,550.4273071289062,39310500,0.0,0.0,0.0
2024-09-16,550.1629297590999,551.5046902542234,548.360884321784,551.2402954101562,36656100,0.0,0.0,0.0
2024-09-17,553.4536471249235,554.9031859740162,549.2324757022386,551.4655151367188,49321000,0.0,0.0,0.0
2024-09-18,552.1216967889254,556.9696926491016,549.2716961893568,549.8299560546875,59044900,0.0,0.0,0.0
2024-09-19,559.2419958687066,561.0734520318479,556.372387764013,559.2125854492188,75315500,0.0,0.0,0.0
2024-09-20,557.843033129673,559.2871245583524,555.219996107625,558.2457885742188,77503100,1.746,0.0,0.0
2024-09-23,559.3166000053709,560.2891611214185,558.0983802646348,559.6407470703125,44116900,0.0,0.0,0.0
2024-09-24,560.436433653946,561.3009456701543,557.6071325028291,561.2420043945312,46805700,0.0,0.0,0.0
2024-09-25,561.0849426444706,561.8217386948093,558.8941616149112,560.0042724609375,38428600,0.0,0.0,0.0
2024-09-26,564.2678851150425,564.5920921622151,559.866775948692,562.2244873046875,48336000,0.0,0.0,0.0
2024-09-27,563.295359810012,564.1107043094071,560.3776161208616,561.4091186523438,42100900,0.0,0.0,0.0
2024-09-30,560.3775886747461,564.2678934162012,558.078818569817,563.6588134765625,63557400,0.0,0.0,0.0
2024-10-01,563.3052513338224,563.9536055755817,556.0355051968223,558.609375,72668800,0.0,0.0,0.0
2024-10-02,557.7153138155387,559.8667605957481,555.3182683616095,558.8450317382812,38097800,0.0,0.0,0.0
2024-10-03,557.3714411111998,559.7684865712154,555.5343678239607,557.8233642578125,40846500,0.0,0.0,0.0
2024-10-04,562.273664576873,563.2658929623027,558.09848649286,562.892578125,42939100,0.0,0.0,0.0
2024-10-07,561.2421538745174,561.8905680396737,556.6543868115797,557.8037719726562,49964700,0.0,0.0,0.0
2024-10-08,560.377637870892,563.67853004462,559.5033520489247,563.0792236328125,37398700,0.0,0.0,0.0
2024-10-09,563.0693978961492,567.5393423690588,562.4701514366566,566.9793701171875,37912200,0.0,0.0,0.0
2024-10-10,565.6334128471475,567.411544847049,564.375918856187,565.987060546875,44138100,0.0,0.0,0.0
2024-10-11,565.9084606662699,570.1131388058892,565.7709110163313,569.3763427734375,42268000,0.0,0.0,0.0
2024-10-14,570.9874990099419,574.966246072679,570.5061351329805,574.032958984375,36217200,0.0,0.0,0.0
2024-10-15,574.2981924836022,574.6027324678581,568.3546560789198,569.5728759765625,54203600,0.0,0.0,0.0
2024-10-16,569.5729286407808,572.5692210133667,568.7673576490918,572.0485229492188,30725400,0.0,0.0,0.0
2024-10-17,575.594918349773,575.801242846272,571.9109378019983,572.0975952148438,34393700,0.0,0.0,0.0
2024-10-18,573.787292295603,575.0840605235142,572.3235337539761,574.2981567382812,37416800,0.0,0.0,0.0
2024-10-21,573.5711395635755,574.5535342943244,570.378356688641,573.3550415039062,36439000,0.0,0.0,0.0
2024-10-22,570.8204209471064,574.2096946097226,570.1622332957213,573.0504760742188,34183800,0.0,0.0,0.0
2024-10-23,571.0267810694698,571.4688706983893,564.3071746074978,567.8143310546875,49314600,0.0,0.0,0.0
2024-10-24,569.7693209618997,569.8479293354313,566.4193810527883,569.0423583984375,34979900,0.0,0.0,0.0
2024-10-25,571.2724939588697,574.1705710382292,567.9028864933955,568.845947265625,47268200,0.0,0.0,0.0
2024-10-28,572.3236221809337,572.451338311336,570.2998911399899,570.6044311523438,30174700,0.0,0.0,0.0
2024-10-29,569.6415300427301,572.6476553589258,568.2465463889694,571.5277709960938,42899700,0.0,0.0,0.0
2024-10-30,571.0562623128328,573.0505525749719,569.0914726763393,569.798828125,41435800,0.0,0.0,0.0
2024-10-31,565.4271839715354,565.4959588071013,558.4325373559277,558.6290283203125,60182500,0.0,0.0,0.0
2024-11-01,561.2617936558026,565.4173043933644,560.5741053167588,560.9866943359375,45667500,0.0,0.0,0.0
